SALARY,HOURLY RATE,TITLE,DEPARTMENT
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$43,798.04 ",,STAFF ASSISTANT,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$30,377.13 ",,ACCOUNTING TECHNICIAN,CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$33,855.28 ",,POLICE OFFICER,POLICE
"$39,697.92 ",,BUSINESS PROCESS ANALYST,FINANCE
"$78,424.16 ",,POLICE LIEUTENANT,POLICE
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$44,744.08 ",,RECREATION PROGRAM DIRECTOR,PARK AND RECREATION
,$65.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$54,831.37 ",,TRANSPORTATION INSPECTOR,PUBLIC WORKS
"$27,704.84 ",,STAFF SUPPORT SPECIALIST,SOLID WASTE SERVICES
"$82,577.52 ",,IT MANAGER,INFORMATION TECHNOLOGY
"$31,548.86 ",,REC FACIL & PROGRAM SUPV I,PARK AND RECREATION
"$33,349.47 ",,FIREFIGHTER,FIRE
"$34,934.02 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$31,718.54 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$65,070.75 ",,POLICE SERGEANT,POLICE
"$50,516.75 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
"$35,118.72 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$32,157.42 ",,CUSTODIAL WORKER,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$60,000.05 ",,ACCOUNTANT/AUDITOR II,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$34,336.20 ",,SENIOR STAFF SUPPORT SPECIALIST,POLICE
,$15.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$76,908.69 ",,POLICE LIEUTENANT,POLICE
,$12.00 ,OFFICIALS,PARK AND RECREATION
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$9,999.84 ",,COUNCILOR,GENERAL GOVERNMENT
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$41,944.45 ",,LEAD WATER METER MECHANIC,PUBLIC UTILITIES
"$24,991.20 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$31,500.14 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$58,605.66 ",,TELECOMMUNICATIONS SUPERVISOR,EMERGENCY COMMUNICATION
"$32,593.60 ",,SERVICE WORKER,PUBLIC UTILITIES
"$56,399.26 ",,SR. FIREFIGHTER/HAZMAT TECH,FIRE
"$35,806.75 ",,SENIOR STAFF SUPPORT SPECIALIST,PUBLIC UTILITIES
,$12.09 ,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$62,875.25 ",,STAFF ANALYST,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$23,801.18 ",,UTILITY BILLING FIELD TECHNICIAN,FINANCE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$40,922.75 ",,SENIOR CHEMIST,PUBLIC UTILITIES
"$64,578.94 ",,STAFF ASSISTANT,GENERAL GOVERNMENT
"$127,862.23 ",,PUBLIC UTILITIES DIRECTOR,PUBLIC UTILITIES
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
"$30,544.38 ",,SENIOR AUTOMOTIVE SERVICES TECH,PUBLIC WORKS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$37,003.67 ",,FIRST CLASS FIREFIGHTER,FIRE
"$50,137.43 ",,MASTER POLICE OFFICER,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$55,332.50 ",,SR. TRANSPORTATION ENGINEER,PUBLIC WORKS
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$33,453.42 ",,POLICE OFFICER,POLICE
"$55,193.07 ",,SYSTEMS ANALYST/PROGRAMMER,INFORMATION TECHNOLOGY
"$26,615.68 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$33,722.42 ",,SERVICE WORKER,PARK AND RECREATION
"$23,801.23 ",,SWS EQUIPMENT OPERATOR I,SOLID WASTE SERVICES
"$9,999.84 ",,COUNCILOR,GENERAL GOVERNMENT
"$43,397.12 ",,LEAD INSTRUMENTATION TECHNICIAN,PUBLIC UTILITIES
"$60,925.74 ",,SENIOR POLICE OFFICER,POLICE
"$43,709.74 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$9.75 ,ACTIVITY SPECIALIST V (T),PARK AND RECREATION
"$23,801.18 ",,SENIOR STAFF SUPPORT SPECIALIST,PUBLIC WORKS
"$38,340.21 ",,FORESTRY SPECIALIST,INSPECTIONS
"$38,492.69 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.75 ,ACTIVITY SPECIALIST IV (T),PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$30,285.05 ",,FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$42,806.62 ",,FIRST CLASS POLICE OFFICER,POLICE
"$43,353.02 ",,POLICE EVIDENCE SPECIALIST,POLICE
"$84,348.91 ",,IT MANAGER,POLICE
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$34,507.88 ",,RECREATION PROGRAM SPECIALIST,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$35,165.18 ",,CODE ENFORCEMENT INSPECTOR (II),INSPECTIONS
"$34,518.99 ",,POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$32,166.61 ",,POLICE OFFICER,POLICE
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$33,999.47 ",,LEAD WATER METER MECHANIC,PUBLIC UTILITIES
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$39,103.58 ",,MOTOR EQUIPMENT MECHANIC,PUBLIC WORKS
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$41,018.43 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$82,215.81 ",,POLICE CAPTAIN,POLICE
"$31,829.41 ",,SERVICE WORKER,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$61,459.42 ",,LABORATORY SUPERVISOR,PUBLIC UTILITIES
"$36,242.96 ",,UTILITIES TECHNICIAN,PUBLIC UTILITIES
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$34,000.10 ",,GARDENER,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.75 ,ACTIVITY SPECIALIST IV (T),PARK AND RECREATION
"$39,877.45 ",,STORMWATER CONTROL INSPECTOR,PUBLIC WORKS
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$61,320.48 ",,MULTI TRADES INSPECTOR (I),INSPECTIONS
"$42,843.94 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$39,784.36 ",,SR. COMPUTER SYSTEMS SPECIALIST,POLICE
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
,$9.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$34,257.35 ",,POLICE OFFICER,POLICE
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
"$29,938.90 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
"$84,500.64 ",,PLANNING MANAGER,PLANNING
"$52,483.09 ",,SENIOR SYSTEMS ADMINISTRATOR,INFORMATION TECHNOLOGY
"$71,294.50 ",,POLICE SERGEANT,POLICE
"$24,991.20 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$42,278.53 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
,$11.25 ,PROGRAM SPECIALIST VI-E (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$62,067.64 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$56,094.67 ",,FIRE LIEUTENANT,FIRE
"$37,847.63 ",,FIRST CLASS POLICE OFFICER,POLICE
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$42,800.50 ",,FIRST CLASS POLICE OFFICER,POLICE
"$42,307.84 ",,SENIOR FIREFIGHTER,FIRE
"$86,745.55 ",,STREETS MAINTENANCE SUPT,PUBLIC WORKS
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$42,806.62 ",,FIRST CLASS POLICE OFFICER,POLICE
"$35,769.47 ",,ECC TRAINING & COMPLIANCE COORD,EMERGENCY COMMUNICATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$87,137.67 ",,POLICE CAPTAIN/DISTRICT COMMANDER,POLICE
"$30,384.59 ",,POLICE RECORDS SPECIALIST,POLICE
"$49,027.89 ",,PARK OPERATIONS SUPERVISOR,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$46,829.61 ",,SENIOR BUILDING PLANS EXAMINER,INSPECTIONS
"$32,166.61 ",,POLICE OFFICER,POLICE
"$23,508.78 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$52,056.08 ",,MASTER POLICE OFFICER,POLICE
"$73,500.15 ",,WEB ARCHITECT,INFORMATION TECHNOLOGY
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$65,920.38 ",,FIRE CAPTAIN,FIRE
"$47,636.32 ",,MASTER POLICE OFFICER,POLICE
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
"$52,682.67 ",,MASTER POLICE OFFICER,POLICE
"$30,765.90 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
,$8.81 ,CL. ASSISTANT II (T),PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$29,499.60 ",,SERVICE WORKER,PUBLIC WORKS
,$10.50 ,PROGRAM SPECIALIST VI-B (T),PARK AND RECREATION
"$41,706.76 ",,FIRST CLASS POLICE OFFICER,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$61,503.85 ",,ENGINEERING TECHNICIAN SUPERVISOR,PUBLIC WORKS
"$51,254.11 ",,MASTER POLICE OFFICER,POLICE
,$8.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$10.00 ,PERFORMING ARTS INSTRUCTOR(T),PARK AND RECREATION
"$46,003.46 ",,STAFF ASSISTANT,PUBLIC WORKS
"$26,368.99 ",,LEAD SERVICE WORKER,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$38,890.49 ",,FIREFIGHTER,FIRE
"$64,970.94 ",,POLICE DETECTIVE II,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$39,391.87 ",,ANIMAL CONTROL OFFICER,POLICE
"$67,808.00 ",,PLANT OPERATIONS SUPERVISOR,PUBLIC UTILITIES
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$127,862.23 ",,PUBLIC WORKS DIRECTOR,PUBLIC WORKS
"$34,080.10 ",,GIS TECHNICIAN,INFORMATION TECHNOLOGY
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
"$46,061.29 ",,ENGINEERING TECHNICIAN,PUBLIC WORKS
"$32,166.61 ",,POLICE OFFICER,POLICE
,$11.00 ,CL. ASSISTANT IV (T),PUBLIC WORKS
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$61,678.91 ",,FIRE CAPTAIN,FIRE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$24,864.94 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$75,772.13 ",,POLICE LIEUTENANT,POLICE
"$78,496.34 ",,SENIOR SYSTEMS ADMINISTRATOR,POLICE
"$43,063.90 ",,LEAD WATER METER MECHANIC,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$52,056.08 ",,MASTER POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$93,631.81 ",,POLICE MAJOR,POLICE
"$34,000.10 ",,PLANNING TECHNICIAN,PLANNING
"$31,667.17 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$67,687.68 ",,UTILITY SERVICES MANAGER,FINANCE
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$47,756.00 ",,MASTER POLICE OFFICER,POLICE
,$14.83 ,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$50,871.69 ",,MASTER POLICE OFFICER,POLICE
"$23,801.23 ",,SWS EQUIPMENT OPERATOR I,SOLID WASTE SERVICES
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$29,078.19 ",,LEAD SERVICE WORKER,PUBLIC WORKS
"$71,198.41 ",,STAFF ANALYST,PARK AND RECREATION
"$42,100.03 ",,WAREHOUSE SUPERVISOR,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$32,304.58 ",,FIREFIGHTER,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$27,410.86 ",,MAINTENANCE WORKER I,PARK AND RECREATION
"$36,511.90 ",,ASSISTANT CREW SUPERVISOR,PUBLIC WORKS
,$20.00 ,ENGINEERING INSPECTOR(T),PUBLIC WORKS
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$47,100.14 ",,MAINTENANCE MECHANIC II,CONVENTION CENTER
,$55.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$33,490.51 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC UTILITIES
"$27,911.52 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$51,489.33 ",,MASTER POLICE OFFICER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$44,920.80 ",,CRIME ANALYST,POLICE
"$69,162.52 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$51,382.70 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$29,120.00 ",,LEAD SERVICE WORKER,PUBLIC WORKS
"$27,552.93 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$24,991.20 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$27,040.00 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$65,026.00 ",,ASSISTANT PARKS SUPERINTENDENT,PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$25,873.33 ",,EQUIPMENT OPERATOR I,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$40.00 ,OFFICIALS,PARK AND RECREATION
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$64,324.48 ",,POLICE SERGEANT,POLICE
"$65,920.38 ",,FIRE CAPTAIN,FIRE
"$61,035.56 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$47,636.32 ",,MASTER POLICE OFFICER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$25,935.31 ",,WATER QUALITY TECHNICIAN,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$75,772.35 ",,POLICE LIEUTENANT,POLICE
"$37,925.73 ",,CRIME ANALYST,POLICE
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$34,166.29 ",,WATER & SEWER SUPERVISOR I,PUBLIC UTILITIES
"$41,013.02 ",,EQUIPMENT OPERATOR II,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$10.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$57,350.73 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$50,852.88 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$51,370.81 ",,FIRE PROTECTION INSPECTOR,FIRE
"$102,000.11 ",,DEVELOPMENT SERVICES MANAGER,GENERAL GOVERNMENT
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
"$39,716.48 ",,FIRST CLASS POLICE OFFICER,POLICE
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
"$21,794.24 ",,SERVICE WORKER,PARK AND RECREATION
"$45,427.17 ",,CONSTRUCTION PROJECTS COORDINATOR,PUBLIC WORKS
"$53,992.41 ",,MASTER POLICE OFFICER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$49,871.76 ",,SENIOR FIREFIGHTER,FIRE
,$11.00 ,ADMINISTRATIVE SUPPORT SPECIALIST,PERSONNEL
"$24,315.82 ",,EQUIPMENT OPERATOR I,PARK AND RECREATION
"$57,037.78 ",,POLICE DETECTIVE I,POLICE
"$41,799.97 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC WORKS
"$73,216.84 ",,PLANNING MANAGER,PLANNING
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$33,855.28 ",,POLICE OFFICER,POLICE
"$53,194.16 ",,MASTER POLICE OFFICER,POLICE
"$28,684.03 ",,SENIOR AUTOMOTIVE SERVICES TECH,PUBLIC WORKS
"$68,203.12 ",,POLICE TRAINING DIRECTOR,POLICE
"$37,847.63 ",,FIRST CLASS POLICE OFFICER,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$21,987.06 ",,BUDGET ANALYST,ADMINISTRATIVE SERVICES
"$23,801.18 ",,UTILITY BILLING FIELD TECHNICIAN,FINANCE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$24,960.00 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$32,698.21 ",,REC FACIL & PROGRAM SUPV I,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$25,574.64 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
"$41,805.69 ",,FIRST CLASS POLICE OFFICER,POLICE
"$41,491.87 ",,ENGINEERING TECHNICIAN,PUBLIC WORKS
"$55,899.93 ",,TRANSPORTATION ENGINEER,PUBLIC WORKS
"$77,535.59 ",,SENIOR PLANNER,PLANNING
"$60,467.56 ",,FIRE LT/INVEST SPEC,FIRE
"$54,048.55 ",,ENGINEERING TECHNICIAN SUPERVISOR,PUBLIC WORKS
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$25,920.96 ",,CUSTOMER SERVICE REPRESENTATIVE,INSPECTIONS
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$119,369.81 ",,PARKS AND RECREATION DIRECTOR,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$27,618.45 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
"$68,823.74 ",,POLICE SERGEANT,POLICE
"$62,361.28 ",,POLICE SERGEANT,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$55,752.12 ",,FIRE LIEUTENANT,FIRE
"$40,017.95 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$33,602.61 ",,TREE TRIMMER,PARK AND RECREATION
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
"$50,589.34 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$25,297.58 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$31,792.59 ",,SERVICE WORKER,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$29,762.51 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$32,127.47 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$56,589.38 ",,FIRE LIEUTENANT,FIRE
"$54,909.96 ",,COMPUTER ACQUISITION SPECIALIST,INFORMATION TECHNOLOGY
"$27,040.00 ",,MAINTENANCE WORKER II,PARK AND RECREATION
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
"$63,568.21 ",,FIRE INSPECTOR III,FIRE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$30,377.15 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$34,751.39 ",,CHEMIST,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
"$37,000.03 ",,GIS TECHNICIAN,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$38,587.95 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$41,380.06 ",,FIRST CLASS FIREFIGHTER,FIRE
"$41,195.87 ",,SYSTEMS ANALYST/PROGRAMMER,EMERGENCY COMMUNICATION
"$33,870.93 ",,TREE TRIMMER,PARK AND RECREATION
"$30,910.88 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$87,623.61 ",,POLICE CAPTAIN/DISTRICT COMMANDER,POLICE
"$47,299.25 ",,SENIOR FIREFIGHTER,FIRE
"$32,074.37 ",,SENIOR STAFF SUPPORT SPECIALIST,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$63,498.27 ",,FIRE CAPTAIN,FIRE
,$7.25 ,ACTIVITY SPECIALIST II,PARK AND RECREATION
,$36.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
"$69,991.23 ",,TRANSIT ADMINISTRATOR,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$58,088.07 ",,POLICE DETECTIVE I,POLICE
"$38,583.02 ",,STORMWATER CONTROL INSPECTOR,PUBLIC WORKS
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$37,450.99 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$53,194.16 ",,MASTER POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$28,797.60 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$60,267.92 ",,SENIOR POLICE OFFICER,POLICE
