SALARY,TITLE,DEPARTMENT
"$31,649.02 ",FIREFIGHTER,FIRE
"$59,074.54 ",FIRE CAPTAIN,FIRE
"$46,543.80 ",FIRE CAPTAIN,FIRE
"$37,030.76 ",FIREFIGHTER,FIRE
"$52,576.42 ",FIRE TECHNICIAN,FIRE
"$51,314.38 ",FIRE CAPTAIN,FIRE
"$57,268.90 ",FIRE CAPTAIN,FIRE
"$52,576.42 ",FIRE TECHNICIAN,FIRE
"$36,650.12 ",FIRE TECHNICIAN,FIRE
"$53,452.23 ",FIRE CAPTAIN,FIRE
"$55,881.54 ",FIRE CAPTAIN,FIRE
"$50,337.00 ",FIRE CAPTAIN,FIRE
"$65,369.46 ",BATTALION FIRE CHIEF,FIRE
"$54,510.82 ",FIRE CAPTAIN,FIRE
"$58,675.62 ",FIRE INSPECTOR,FIRE
"$46,244.02 ",FIRE INSPECTOR,FIRE
"$60,723.01 ",FIRE INSPECTOR,FIRE
"$76,076.36 ",FIRE MARSHALL,FIRE
"$57,610.74 ",FIRE INSPECTOR,FIRE
"$53,623.73 ",FIRE INSPECTOR,FIRE
"$54,159.97 ",FIRE INSPECTOR,FIRE
"$62,253.01 ",ASSISTANT FIRE MARSHALL,FIRE
"$45,478.25 ",FIRE INSPECTOR,FIRE
"$54,761.20 ",FIRE INSPECTOR,FIRE
"$35,162.94 ",SECRETARY,FIRE
"$36,650.12 ",FIRE TECHNICIAN,FIRE
"$46,427.42 ",FIRE TECHNICIAN,FIRE
"$45,698.78 ",FIRE TECHNICIAN,FIRE
"$36,650.12 ",FIRE TECHNICIAN,FIRE
"$52,576.35 ",FIRE TECHNICIAN,FIRE
"$40,048.84 ",FIRE TECHNICIAN,FIRE
"$53,789.06 ",FIRE CAPTAIN,FIRE
"$58,373.44 ",FIRE CAPTAIN,FIRE
"$38,882.22 ",FIRE TECHNICIAN,FIRE
"$48,870.90 ",FIRE CAPTAIN,FIRE
"$40,849.90 ",FIRE TECHNICIAN,FIRE
"$46,427.42 ",FIRE TECHNICIAN,FIRE
"$45,698.90 ",FIRE TECHNICIAN,FIRE
"$42,075.28 ",FIRE TECHNICIAN,FIRE
"$63,176.36 ",FIRE CAPTAIN,FIRE
"$44,637.58 ",FIRE TECHNICIAN,FIRE
"$52,576.37 ",FIRE TECHNICIAN,FIRE
"$44,637.58 ",FIRE TECHNICIAN,FIRE
"$44,637.58 ",FIRE TECHNICIAN,FIRE
"$41,056.08 ",FIRE TECHNICIAN,FIRE
"$40,048.84 ",FIRE TECHNICIAN,FIRE
"$47,447.44 ",FIRE CAPTAIN,FIRE
"$38,847.38 ",FIRE TECHNICIAN,FIRE
"$47,447.47 ",FIRE CAPTAIN,FIRE
"$39,224.23 ",FIRE TECHNICIAN,FIRE
"$54,228.16 ",CONTRACT ADMINISTRATOR,GENERAL SERVICES
"$89,224.00 ",ASST DIRECTOR GENERAL SERVICES,GENERAL SERVICES
"$30,830.02 ",MANAGEMENT ASSISTANT,GENERAL SERVICES
"$84,669.52 ",BUSINESS SERVICES MANAGER,GENERAL SERVICES
"$36,900.04 ",MANAGEMENT ASSISTANT,GENERAL SERVICES
"$57,362.76 ",SAFETY OFFICER,GENERAL SERVICES
"$43,219.32 ",ADMINISTRATIVE ASSISTANT,GENERAL SERVICES
"$40,637.10 ",PROGRAM ASSISTANT,GENERAL SERVICES
"$76,124.96 ",ASST DIRECTOR GENERAL SERVICES,GENERAL SERVICES
"$57,303.58 ",CIVIL ENGINEER IV,GENERAL SERVICES
"$50,248.93 ",BUDGET & MANAGEMENT ANALYST,GENERAL SERVICES
"$63,859.90 ",CONSTRUCTION PROJECT MANAGER,GENERAL SERVICES
"$33,970.21 ",MANAGEMENT ASSISTANT,GENERAL SERVICES
"$39,427.21 ",PROGRAM ASSISTANT,GENERAL SERVICES
"$63,860.12 ",OPERATIONS & EVALUATION ADMIN,GENERAL SERVICES
"$41,239.19 ",REAL ESTATE OFFICER,GENERAL SERVICES
"$68,242.00 ",REAL ESTATE MANAGER,GENERAL SERVICES
"$45,362.65 ",REAL ESTATE OFFICER,GENERAL SERVICES
"$61,671.00 ",SENIOR REAL ESTATE OFFICE,GENERAL SERVICES
"$64,754.51 ",SENIOR REAL ESTATE OFFICE,GENERAL SERVICES
"$37,548.86 ",EXECUTIVE SECRETARY,GENERAL SERVICES
"$53,707.01 ",REAL ESTATE OFFICER,GENERAL SERVICES
"$66,300.00 ",SENIOR PROJECT ADMINISTRATOR,GENERAL SERVICES
"$31,553.60 ",PT OFFICE/CLERICAL W/BENE,GENERAL SERVICES
"$33,749.35 ",MANAGEMENT ASSISTANT,GENERAL SERVICES
"$73,034.00 ",LANDSCAPE SERVICES MANAGER,GENERAL SERVICES
"$65,100.13 ",OPERATIONS & EVALUATION ADMIN,GENERAL SERVICES
"$70,516.99 ",CONSTRUCTION PROJECT MANAGER,GENERAL SERVICES
"$65,977.60 ",SENIOR PROJECT ADMINISTRATOR,GENERAL SERVICES
"$59,596.43 ",CONSTRUCTION PROJECT ADMINISTR,GENERAL SERVICES
"$55,650.23 ",CONSTRUCTION PROJECT ADMINISTR,GENERAL SERVICES
"$69,000.00 ",OPERATIONS & EVALUATION ADMIN,GENERAL SERVICES
"$67,600.00 ",SENIOR PROJECT ADMINISTRATOR,GENERAL SERVICES
"$53,500.00 ",CONSTRUCTION PROJECT ADMINISTR,GENERAL SERVICES
"$58,341.77 ",CONSTRUCTION PROJECT ADMINISTR,GENERAL SERVICES
"$48,530.12 ",OPERATIONS & EVALUATION ADMIN,GENERAL SERVICES
"$42,021.03 ",ELECRICIAN,GENERAL SERVICES
"$39,319.37 ",MAINTENANCE MECHANIC SUPERVISO,GENERAL SERVICES
"$35,506.47 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$68,675.33 ",FACILITIES OPERATIONS MANAGER,GENERAL SERVICES
"$38,234.24 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$46,104.24 ",TRADES SUPERVISOR,GENERAL SERVICES
"$57,365.49 ",SENIOR PROJECT ADMINISTRATOR,GENERAL SERVICES
"$32,352.68 ",HVAC TECHNICIAN,GENERAL SERVICES
"$35,506.47 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$35,506.47 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$40,705.60 ",ELECRICIAN,GENERAL SERVICES
"$36,954.06 ",EXECUTIVE SECRETARY,GENERAL SERVICES
"$43,688.09 ",MAINTENANCE MECHANIC SUPERVISO,GENERAL SERVICES
"$40,896.22 ",MAINTENANCE MECHANIC SUPERVISO,GENERAL SERVICES
"$36,954.06 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$36,933.71 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$60,781.81 ",SENIOR PROJECT ADMINISTRATOR,GENERAL SERVICES
"$35,506.47 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$35,870.52 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$46,757.00 ",HVAC SUPERVISOR,GENERAL SERVICES
"$33,074.82 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$37,447.38 ",MAINTENANCE MECHANIC,GENERAL SERVICES
"$21,719.75 ",PROPERTY CARE WORKER,GENERAL SERVICES
"$40,773.10 ",PUBLIC WORKS SUPERVISOR,GENERAL SERVICES
"$27,841.34 ",EQUIPMENT OPERATOR II,GENERAL SERVICES
"$25,020.38 ",EQUIPMENT OPERATOR I,GENERAL SERVICES
"$22,244.30 ",SENIOR LABORER,GENERAL SERVICES
"$21,008.00 ",SERVICE MAINTENANCE,GENERAL SERVICES
"$21,008.00 ",SERVICE MAINTENANCE,GENERAL SERVICES
"$34,158.42 ",EXECUTIVE SECRETARY,GENERAL SERVICES
"$23,356.44 ",SENIOR LABORER,GENERAL SERVICES
"$30,429.69 ",EQUIPMENT OP III,GENERAL SERVICES
"$41,144.74 ",HORTICULTURE SUPERVISOR,GENERAL SERVICES
"$23,356.44 ",SENIOR LABORER,GENERAL SERVICES
"$23,356.44 ",SENIOR LABORER,GENERAL SERVICES
"$25,467.08 ",EQUIPMENT OPERATOR I,GENERAL SERVICES
"$64,659.89 ",FACILITIES OPERATIONS MANAGER,GENERAL SERVICES
"$30,317.74 ",CREW CHIEF I,GENERAL SERVICES
"$30,083.05 ",ROAD WORKER,GENERAL SERVICES
"$30,126.64 ",EQUIPMENT OPERATOR I,GENERAL SERVICES
"$26,516.00 ",EQUIPMENT OPERATOR I,GENERAL SERVICES
"$30,317.74 ",CREW CHIEF I,GENERAL SERVICES
"$25,331.25 ",EQUIPMENT OPERATOR I,GENERAL SERVICES
"$31,152.03 ",CREW CHIEF I,GENERAL SERVICES
"$28,213.27 ",EQUIPMENT OPERATOR I,GENERAL SERVICES
"$26,144.61 ",EQUIPMENT OPERATOR I,GENERAL SERVICES
"$25,229.17 ",SENIOR LABORER,GENERAL SERVICES
"$53,116.26 ",LANDSCAPE SUPERVISOR,GENERAL SERVICES
"$33,815.69 ",CREW CHIEF I,GENERAL SERVICES
"$38,969.84 ",MOTOR EQUIPMENT MECHANIC,GENERAL SERVICES
"$37,925.30 ",CREW CHIEF I,GENERAL SERVICES
"$29,567.54 ",CUSTODIAN,GENERAL SERVICES
"$30,126.64 ",CUSTODIAN,GENERAL SERVICES
"$27,053.45 ",CUSTODIAN,GENERAL SERVICES
"$28,456.43 ",LEAD CUSTODIAN,GENERAL SERVICES
"$23,810.52 ",CUSTODIAN,GENERAL SERVICES
"$26,634.32 ",CUSTODIAN,GENERAL SERVICES
"$33,914.47 ",CUSTODIAL SERVICES SUPERVISOR,GENERAL SERVICES
"$23,810.52 ",CUSTODIAN,GENERAL SERVICES
"$27,444.31 ",CUSTODIAN,GENERAL SERVICES
"$26,674.53 ",CUSTODIAN,GENERAL SERVICES
"$26,645.20 ",CUSTODIAN,GENERAL SERVICES
"$23,152.50 ",CUSTODIAN,GENERAL SERVICES
"$27,846.00 ",EQUIPMENT OP III,GENERAL SERVICES
"$32,600.37 ",TREE TRIMMER,GENERAL SERVICES
"$46,757.00 ",PUBLIC WORKS SUPERVISOR,GENERAL SERVICES
"$33,874.39 ",TREE TRIMMER,GENERAL SERVICES
"$33,229.16 ",TREE TRIMMER,GENERAL SERVICES
"$33,716.29 ",TREE TRIMMER,GENERAL SERVICES
"$27,846.00 ",EQUIPMENT OP III,GENERAL SERVICES
"$46,648.30 ",URBAN FORESTRY TECHNICIAN,GENERAL SERVICES
"$44,653.07 ",KEEP DURHAM BEAUTIFUL COORD,GENERAL SERVICES
"$58,586.87 ",CEMETERY ADMINISTRATOR,GENERAL SERVICES
"$37,114.13 ",EQUIPMENT OP III,GENERAL SERVICES
"$43,691.19 ",CUSTOMER SERVICE SUPERVISOR,GENERAL SERVICES
"$42,647.79 ",CUSTOMER SERVICE SUPERVISOR,GENERAL SERVICES
"$41,161.22 ",ADMINISTRATIVE ASSISTANT,GENERAL SERVICES
"$25,635.48 ",SENIOR LABORER,GENERAL SERVICES
"$29,188.06 ",EQUIPMENT OPERATOR I,GENERAL SERVICES
"$24,018.00 ",SENIOR LABORER,GENERAL SERVICES
"$21,596.84 ",LABORER,GENERAL SERVICES
"$23,615.59 ",LABORER,GENERAL SERVICES
"$26,231.96 ",SENIOR LABORER,GENERAL SERVICES
"$29,434.59 ",CREW CHIEF I,GENERAL SERVICES
"$105,528.02 ",COMMUNITY DEVELOPMENT DIRECT,DEPT OF COMMUNITY DEVELOPMENT
"$47,483.98 ",REHABILITATION SPECIALIST,DEPT OF COMMUNITY DEVELOPMENT
"$32,168.88 ",ACCOUNTING TECHNICIAN,DEPT OF COMMUNITY DEVELOPMENT
"$59,701.00 ",FEDERAL PROGRAM COORDINATOR,DEPT OF COMMUNITY DEVELOPMENT
"$51,155.49 ",HOUSING/CD PROGRAM SPECIALIST,DEPT OF COMMUNITY DEVELOPMENT
"$78,414.54 ",ASSOC DIRECTOR OF HOUSING & CD,DEPT OF COMMUNITY DEVELOPMENT
"$42,538.86 ",HOUSING SPECIALIST,DEPT OF COMMUNITY DEVELOPMENT
"$49,097.92 ",BUDGET & MANAGEMENT ANALYST,DEPT OF COMMUNITY DEVELOPMENT
"$51,646.23 ",FISCAL PROGRAM ACCOUNTANT,DEPT OF COMMUNITY DEVELOPMENT
"$61,671.00 ",HOUSING/CD PROGRAM SPECIALIST,DEPT OF COMMUNITY DEVELOPMENT
"$52,978.80 ",BUDGET & MANAGEMENT ANALYST,DEPT OF COMMUNITY DEVELOPMENT
"$42,047.46 ",LEAD SPECIALIST,DEPT OF COMMUNITY DEVELOPMENT
"$44,767.63 ",REHABILITATION SPECIALIST,DEPT OF COMMUNITY DEVELOPMENT
"$54,600.00 ",SENIOR PLANNER,DEPT OF COMMUNITY DEVELOPMENT
"$73,975.98 ",ASSOC DIRECTOR OF HOUSING & CD,DEPT OF COMMUNITY DEVELOPMENT
"$55,936.20 ",HOUSING/CD PROGRAM SPECIALIST,DEPT OF COMMUNITY DEVELOPMENT
"$25,871.12 ",RESERVATIONIST,DEPT OF COMMUNITY DEVELOPMENT
"$33,354.77 ",MANAGEMENT ASSISTANT,DEPT OF COMMUNITY DEVELOPMENT
"$61,671.00 ",HOUSING/CD PROGRAM SPECIALIST,DEPT OF COMMUNITY DEVELOPMENT
"$100,402.24 ",DIRECTOR OF HUMAN RESOURCES,HUMAN RESOURCES
"$79,706.44 ",RESOURCES DIRECT,HUMAN RESOURCES
"$63,112.40 ",HUMAN RESOURCES MANAGER,HUMAN RESOURCES
"$51,314.52 ",HUMAN RESOURCES CONSULTANT,HUMAN RESOURCES
"$61,493.25 ",HUMAN RESOURCES MANAGER,HUMAN RESOURCES
"$40,791.39 ",MANAGEMENT ASSISTANT,HUMAN RESOURCES
"$43,800.67 ",HUMAN RESOURCES CONSULTANT,HUMAN RESOURCES
"$47,693.92 ",SR HUMAN RESOURCES CONSULTANT,HUMAN RESOURCES
"$77,867.94 ",HUMAN RESOURCES MANAGER,HUMAN RESOURCES
"$44,290.22 ",MANAGEMENT ASSISTANT,HUMAN RESOURCES
"$41,600.00 ",PARTTIME OFFICE/CLERICAL,HUMAN RESOURCES
"$41,039.54 ",HUMAN RESOURCES CONSULTANT,HUMAN RESOURCES
"$49,131.10 ",HUMAN RESOURCES CONSULTANT,HUMAN RESOURCES
"$52,749.84 ",SR HUMAN RESOURCES CONSULTANT,HUMAN RESOURCES
"$42,417.65 ",HUMAN RESOURCES CONSULTANT,HUMAN RESOURCES
"$46,011.42 ",PROGRAM ASSISTANT,HUMAN RESOURCES
"$76,796.77 ",HUMAN RESOURCES MANAGER,HUMAN RESOURCES
"$57,558.23 ",SR HUMAN RESOURCES CONSULTANT,HUMAN RESOURCES
"$56,109.00 ",HUMAN RELATIONS SPECIALIST,HUMAN RELATIONS
"$37,475.36 ",MANAGEMENT ASSISTANT,HUMAN RELATIONS
"$34,000.00 ",MANAGEMENT ASSISTANT,HUMAN RELATIONS
"$43,499.82 ",HUMAN RELATIONS SPECIALIST,HUMAN RELATIONS
"$49,500.00 ",HUMAN RELATIONS SPECIALIST,HUMAN RELATIONS
"$88,750.79 ",DIRECTOR OF HUMAN RELATIONS,HUMAN RELATIONS
"$49,468.28 ",COMMUNITY RELATIONS COORDINATO,HUMAN RESOURCES
"$56,109.04 ",HUMAN RELATIONS SPECIALIST,HUMAN RESOURCES
"$47,344.59 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$46,902.45 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$109,441.60 ",DIRECTOR CITY/COUNTY INSPECTIO,CITY/COUNTY INSPECTIONS
"$80,148.06 ",ASST INSPECTIONS DIRECTOR,CITY/COUNTY INSPECTIONS
"$32,081.54 ",PERMIT TECHNICIAN,CITY/COUNTY INSPECTIONS
"$61,271.07 ",FIELD INSPECTIONS SUPERVISOR,CITY/COUNTY INSPECTIONS
"$46,757.00 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$46,142.39 ",ADMINISTRATIVE ASSISTANT,CITY/COUNTY INSPECTIONS
"$51,710.47 ",FIELD INSPECTIONS SUPERVISOR,CITY/COUNTY INSPECTIONS
"$48,975.98 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$54,227.31 ",PLANS EXAMINER,CITY/COUNTY INSPECTIONS
"$46,757.00 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$47,394.01 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$47,394.01 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$40,111.62 ",PLANS EXAMINER,CITY/COUNTY INSPECTIONS
"$47,394.01 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$62,624.71 ",CHIEF CITY/COUNTY CODES INSPEC,CITY/COUNTY INSPECTIONS
"$47,854.32 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$44,798.31 ",PERMIT SUPERVISOR,CITY/COUNTY INSPECTIONS
"$29,434.65 ",PERMIT TECHNICIAN,CITY/COUNTY INSPECTIONS
"$61,271.07 ",SENIOR PLANS EXAMINER,CITY/COUNTY INSPECTIONS
"$48,314.34 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$55,741.16 ",PLANS EXAMINER,CITY/COUNTY INSPECTIONS
"$55,205.19 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$47,394.01 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$33,905.20 ",PERMIT TECHNICIAN,CITY/COUNTY INSPECTIONS
"$46,757.00 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$27,206.40 ",PARTTIME OFFICE/CLERICAL,CITY/COUNTY INSPECTIONS
"$55,205.19 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$60,882.39 ",SENIOR PLANS EXAMINER,CITY/COUNTY INSPECTIONS
"$48,774.42 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$46,757.00 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$48,314.28 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$65,750.32 ",CHIEF CITY/COUNTY CODES INSPEC,CITY/COUNTY INSPECTIONS
"$50,247.03 ",PLANS EXAMINER,CITY/COUNTY INSPECTIONS
"$67,782.00 ",CHIEF CITY/COUNTY CODES INSPEC,CITY/COUNTY INSPECTIONS
"$56,109.00 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$55,205.19 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$46,757.00 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$55,741.16 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$67,344.69 ",CHIEF CITY/COUNTY CODES INSPEC,CITY/COUNTY INSPECTIONS
"$40,111.62 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$47,394.01 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$32,780.80 ",PARTTIME OFFICE/CLERICAL,CITY/COUNTY INSPECTIONS
"$47,394.01 ",CITY/COUNTY CODES INSPECTOR,CITY/COUNTY INSPECTIONS
"$25,854.40 ",PARA PROFESSIONAL,PARKS & RECREATION
"$37,376.05 ",MANAGEMENT ASSISTANT,PARKS & RECREATION
"$26,270.40 ",PARA PROFESSIONAL,PARKS & RECREATION
"$35,360.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$90,299.82 ",DIRECTOR OF PARKS & RECREATION,PARKS & RECREATION
"$26,270.40 ",PARA PROFESSIONAL,PARKS & RECREATION
"$81,315.50 ",DIRECTOR,PARKS & RECREATION
"$30,937.75 ",ACCOUNTING TECHNICIAN,PARKS & RECREATION
"$79,750.92 ",DIRECTOR OF PARKS & RECREATION,PARKS & RECREATION
"$35,450.98 ",MANAGEMENT ASSISTANT,PARKS & RECREATION
"$57,924.78 ",RECREATION MANAGER,PARKS & RECREATION
"$43,876.66 ",COMMUNITY RELATIONS COORDINATO,PARKS & RECREATION
"$26,270.40 ",RECREATION SPECIALIST,PARKS & RECREATION
"$48,191.60 ",ADMINISTRATIVE ASSISTANT,PARKS & RECREATION
"$50,740.83 ",PUBLIC AFFAIRS  SPECIALIST,PARKS & RECREATION
"$42,270.77 ",EVENT COORDINATOR,PARKS & RECREATION
"$39,699.17 ",EVENT COORDINATOR,PARKS & RECREATION
"$22,805.74 ",EQUIPMENT OPERATOR I,PARKS & RECREATION
"$21,008.00 ",SERVICE MAINTENANCE,PARKS & RECREATION
"$39,293.95 ",PROGRAM ASSISTANT,PARKS & RECREATION
"$39,457.34 ",COMPUTER SYSTEMS ENGINEER,PARKS & RECREATION
"$20,999.94 ",SENIOR LABORER,PARKS & RECREATION
"$30,836.00 ",CREW CHIEF I,PARKS & RECREATION
"$18,033.60 ",FAC RESERV RENTAL ATTENT III,PARKS & RECREATION
"$18,574.40 ",PROGRAM COORDINATOR - RECREATI,PARKS & RECREATION
"$18,574.40 ",FAC RESERV RENTAL ATTENT III,PARKS & RECREATION
"$18,574.40 ",FAC RESERV RENTAL ATTENT III,PARKS & RECREATION
"$18,033.60 ",FAC RESERV RENTAL ATTENT III,PARKS & RECREATION
"$18,574.40 ",FAC RESERV RENTAL ATTENT III,PARKS & RECREATION
"$17,513.60 ",FACILITY SUPERVISOR,GENERAL SERVICES
"$18,574.40 ",ATHLETIC SPECIALIST,PARKS & RECREATION
"$16,972.80 ",FACILITY SUPERVISOR,PARKS & RECREATION
"$16,972.80 ",FACILITY SUPERVISOR,PARKS & RECREATION
"$12,792.00 ",FACILITY SCOREKEEPER,PARKS & RECREATION
"$54,536.55 ",RECREATION MANAGER,PARKS & RECREATION
"$35,665.40 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$18,574.40 ",ATHLETIC SPECIALIST,PARKS & RECREATION
"$25,500.80 ",ATHLETICS MSTR PROGRAM SPECSLT,PARKS & RECREATION
"$25,500.80 ",ATHLETICS MSTR PROGRAM SPECSLT,PARKS & RECREATION
"$18,574.40 ",ATHLETIC SPECIALIST,PARKS & RECREATION
"$12,792.00 ",FACILITY SCOREKEEPER,PARKS & RECREATION
"$18,574.40 ",ATHLETIC SPECIALIST,PARKS & RECREATION
"$12,792.00 ",FACILITY SCOREKEEPER,PARKS & RECREATION
"$40,641.08 ",RECREATION SUPERVISOR,PARKS & RECREATION
"$18,574.40 ",ATHLETIC SPECIALIST,PARKS & RECREATION
"$26,769.60 ",ATHLETICS MSTR PROGRAM SPECSLT,PARKS & RECREATION
"$12,792.00 ",FACILITY SCOREKEEPER,PARKS & RECREATION
"$32,352.68 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$12,792.00 ",FACILITY SCOREKEEPER,PARKS & RECREATION
"$16,972.80 ",FACILITY SUPERVISOR,PARKS & RECREATION
"$33,646.60 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$25,500.80 ",ATHLETICS MSTR PROGRAM SPECSLT,PARKS & RECREATION
"$18,574.40 ",ATHLETIC SPECIALIST,PARKS & RECREATION
"$18,574.40 ",ATHLETIC SPECIALIST,PARKS & RECREATION
"$12,792.00 ",FACILITY SCOREKEEPER,PARKS & RECREATION
"$25,500.80 ",MATURE ADULTS MASTER PROG SPEC,PARKS & RECREATION
"$39,220.71 ",SPECIAL POP ASSISTANT SUPERVIS,PARKS & RECREATION
"$58,573.27 ",RECREATION MANAGER,PARKS & RECREATION
"$51,045.00 ",PROGRAM ASSISTANT,CITY MANAGER
"$45,515.34 ",COMMUNITY RELATIONS COORDINATO,CITY MANAGER
"$15,059.20 ",COUNSELOR ASST SPEC,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$25,500.80 ",SPECIAL POPULATIONS SPECIALIST,PARKS & RECREATION
"$18,574.40 ",RECREATION SPECIALIST,PARKS & RECREATION
"$25,500.80 ",SPECIAL POPULATIONS SPECIALIST,PARKS & RECREATION
"$18,574.40 ",SPECIAL POPULATIONS PROG SPCLS,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$17,180.80 ",GROUP LEADER-SPEC POP,PARKS & RECREATION
"$17,180.80 ",GROUP LEADER-SPEC POP,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$15,496.00 ",COUNSELOR ASST SPEC,PARKS & RECREATION
"$17,617.60 ",GROUP LEADER-SPEC POP,PARKS & RECREATION
"$17,180.80 ",GROUP LEADER-SPEC POP,PARKS & RECREATION
"$17,617.60 ",GROUP LEADER-SPEC POP,PARKS & RECREATION
"$54,817.94 ",RECREATION MANAGER,PARKS & RECREATION
"$25,500.80 ",SPECIAL POPULATIONS SPECIALIST,PARKS & RECREATION
"$25,500.80 ",SPECIAL POPULATIONS SPECIALIST,PARKS & RECREATION
"$14,643.20 ",COUNSELOR ASST SPEC,PARKS & RECREATION
"$18,574.40 ",BUS DRIVER,PARKS & RECREATION
"$26,520.00 ",PROGRAM SUPERVISOR-SPEC (SEA),PARKS & RECREATION
"$15,496.00 ",COUNSELOR ASST SPEC,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$15,496.00 ",COUNSELOR ASST SPEC,PARKS & RECREATION
"$13,166.40 ",PARA PROFESSIONAL,PARKS & RECREATION
"$18,574.40 ",BUS DRIVER,PARKS & RECREATION
"$38,702.00 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$15,496.00 ",COUNSELOR ASST SPEC,PARKS & RECREATION
"$15,496.00 ",COUNSELOR ASST SPEC,PARKS & RECREATION
"$34,979.70 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$33,970.21 ",RECREATION ASSISTANT SUPERVISO,PARKS & RECREATION
"$17,617.60 ",GROUP LEADER-SPEC POP,PARKS & RECREATION
"$17,617.60 ",GROUP LEADER-SPEC POP,PARKS & RECREATION
"$15,496.00 ",COUNSELOR ASST SPEC,PARKS & RECREATION
"$18,574.40 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,617.60 ",GROUP LEADER-SPEC POP,PARKS & RECREATION
"$17,056.00 ",GROUP LEADER-RECREATION PROGRA,PARKS & RECREATION
"$18,033.60 ",BUS DRIVER,PARKS & RECREATION
"$18,574.40 ",RECREATION SPECIALIST,PARKS & RECREATION
"$18,574.40 ",RECREATION SPECIALIST,PARKS & RECREATION
"$18,574.40 ",RECREATION SPECIALIST,PARKS & RECREATION
"$17,513.60 ",RECREATION SPECIALIST,PARKS & RECREATION
"$18,033.60 ",BUS DRIVER,PARKS & RECREATION
"$26,270.40 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$42,681.09 ",RECREATION SUPERVISOR,PARKS & RECREATION
"$53,053.55 ",RECREATION MANAGER,PARKS & RECREATION
"$27,034.28 ",RECREATION SPECIALIST,PARKS & RECREATION
"$12,792.00 ",PARA PROFESSIONAL,PARKS & RECREATION
"$17,056.00 ",PROGRAM COORDINATOR - RECREATI,PARKS & RECREATION
"$25,500.80 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$25,500.80 ",DISTRICT CENTER PROGRAM SPECIA,PARKS & RECREATION
"$18,574.40 ",RECREATION SPECIALIST,PARKS & RECREATION
